transaction_id,user_id,date,amount,category
T00000,U0187,2023-12-12,70.53,Shopping
T00001,U0300,2023-09-27,30.1,Bills
T00002,U0097,2023-04-05,2.21,Transport
T00003,U0130,2023-11-06,18.52,Shopping
T00004,U0292,2023-05-12,19.29,Transport
T00005,U0170,2023-02-08,91.12,Bills
T00006,U0423,2023-03-13,53.1,Shopping
T00007,U0473,2023-10-08,16.11,Bills
T00008,U0182,2023-11-29,171.7,Food
T00009,U0470,2023-06-09,19.4,Shopping
T00010,U0363,2023-07-06,316.95,Transport
T00011,U0038,2023-07-10,278.16,Food
T00012,U0014,2023-04-30,10.61,Topup
T00013,U0375,2023-08-08,18.75,Transport
T00014,U0496,2023-02-22,33.28,Bills
T00015,U0003,2023-08-10,54.55,Transport
T00016,U0348,2023-05-11,37.54,Topup
T00017,U0469,2023-08-25,174.41,Transport
T00018,U0408,2023-09-03,64.37,Food
T00019,U0396,2023-08-14,11.92,Transport
T00020,U0209,2023-07-27,5.55,Shopping
T00021,U0160,2023-04-06,58.3,Topup
T00022,U0015,2023-07-19,8.63,Transport
T00023,U0492,2023-09-04,77.48,Topup
T00024,U0425,2023-03-13,18.63,Food
T00025,U0107,2023-11-14,19.79,Shopping
T00026,U0381,2023-07-04,0.54,Bills
T00027,U0449,2023-01-06,60.37,Transport
T00028,U0310,2023-07-25,6.01,Food
T00029,U0226,2023-02-01,74.11,Topup
T00030,U0169,2023-04-09,33.85,Topup
T00031,U0033,2023-09-13,76.69,Food
T00032,U0413,2023-07-06,43.84,Transport
T00033,U0250,2023-03-17,4.3,Bills
T00034,U0246,2023-06-26,72.55,Transport
T00035,U0268,2023-11-11,3.62,Shopping
T00036,U0140,2023-10-14,32.57,Transport
T00037,U0273,2023-12-15,9.46,Shopping
T00038,U0415,2023-09-12,69.78,Topup
T00039,U0095,2023-11-21,121.29,Shopping
T00040,U0226,2023-07-09,40.39,Bills
T00041,U0378,2023-11-04,37.45,Food
T00042,U0038,2023-12-11,72.19,Shopping
T00043,U0301,2023-05-07,0.25,Transport
T00044,U0499,2023-10-14,124.9,Shopping
T00045,U0028,2023-09-11,11.0,Topup
T00046,U0445,2023-08-01,207.13,Shopping
T00047,U0496,2023-09-07,66.64,Bills
T00048,U0476,2023-03-25,74.42,Shopping
T00049,U0317,2023-01-13,53.39,Bills
T00050,U0244,2023-02-14,31.9,Transport
T00051,U0235,2023-05-07,42.39,Topup
T00052,U0184,2023-04-24,2.38,Food
T00053,U0271,2023-10-03,48.9,Transport
T00054,U0439,2023-07-24,49.19,Transport
T00055,U0235,2023-12-03,110.91,Food
T00056,U0238,2023-09-30,35.23,Shopping
T00057,U0376,2023-02-27,4.01,Shopping
T00058,U0265,2023-11-24,18.28,Shopping
T00059,U0413,2023-08-07,53.3,Topup
T00060,U0408,2023-04-19,13.67,Transport
T00061,U0358,2023-10-06,16.46,Bills
T00062,U0339,2023-06-23,85.87,Food
T00063,U0388,2023-11-24,43.89,Transport
T00064,U0064,2023-09-21,35.52,Shopping
T00065,U0477,2023-11-11,19.17,Food
T00066,U0176,2023-04-21,65.64,Bills
T00067,U0002,2023-07-06,16.96,Transport
T00068,U0428,2023-09-26,66.79,Transport
T00069,U0141,2023-08-17,3.63,Topup
T00070,U0375,2023-06-05,99.95,Transport
T00071,U0157,2023-07-08,34.61,Transport
T00072,U0497,2023-09-29,28.86,Bills
T00073,U0323,2023-01-02,47.21,Bills
T00074,U0145,2023-09-03,48.93,Food
T00075,U0445,2023-07-29,7.08,Shopping
T00076,U0292,2023-10-13,70.58,Bills
T00077,U0152,2023-12-25,16.14,Food
T00078,U0431,2023-01-13,117.67,Transport
T00079,U0192,2023-04-06,85.15,Food
T00080,U0436,2023-08-09,21.25,Food
T00081,U0493,2023-08-26,82.45,Food
T00082,U0462,2023-04-04,22.03,Food
T00083,U0072,2023-12-04,5.32,Bills
T00084,U0398,2023-09-26,163.36,Shopping
T00085,U0304,2023-06-20,52.86,Food
T00086,U0376,2023-04-04,30.45,Topup
T00087,U0343,2023-05-29,25.36,Transport
T00088,U0451,2023-04-22,19.63,Transport
T00089,U0139,2023-02-24,199.36,Transport
T00090,U0186,2023-12-03,7.24,Transport
T00091,U0292,2023-04-26,18.9,Transport
T00092,U0060,2023-05-23,33.23,Food
T00093,U0484,2023-07-20,32.5,Shopping
T00094,U0426,2023-06-29,31.87,Topup
T00095,U0379,2023-07-21,9.67,Bills
T00096,U0197,2023-12-30,7.83,Topup
T00097,U0294,2023-02-22,14.7,Bills
T00098,U0439,2023-06-29,122.98,Bills
T00099,U0318,2023-11-09,6.0,Topup
T00100,U0301,2023-11-04,70.82,Food
T00101,U0343,2023-05-17,70.85,Transport
T00102,U0010,2023-07-01,82.98,Food
T00103,U0061,2023-01-01,108.85,Transport
T00104,U0332,2023-02-13,15.26,Shopping
T00105,U0225,2023-08-15,12.72,Bills
T00106,U0152,2023-11-27,31.32,Topup
T00107,U0198,2023-04-08,15.4,Shopping
T00108,U0051,2023-07-27,66.27,Transport
T00109,U0259,2023-09-22,50.52,Food
T00110,U0058,2023-10-15,103.97,Topup
T00111,U0071,2023-09-28,4.32,Bills
T00112,U0147,2023-05-20,123.3,Shopping
T00113,U0348,2023-08-25,17.36,Bills
T00114,U0062,2023-03-13,33.74,Transport
T00115,U0309,2023-06-04,28.87,Bills
T00116,U0372,2023-07-09,71.42,Food
T00117,U0242,2023-09-25,27.27,Shopping
T00118,U0492,2023-11-17,143.72,Shopping
T00119,U0365,2023-04-17,116.41,Food
T00120,U0329,2023-08-20,102.85,Bills
T00121,U0106,2023-02-11,3.7,Food
T00122,U0225,2023-07-09,96.3,Topup
T00123,U0312,2023-05-19,76.08,Food
T00124,U0217,2023-04-13,5.46,Bills
T00125,U0424,2023-06-20,5.68,Food
T00126,U0240,2023-12-17,5.33,Transport
T00127,U0258,2023-09-30,0.57,Food
T00128,U0375,2023-08-09,39.77,Food
T00129,U0261,2023-08-01,181.33,Bills
T00130,U0004,2023-12-07,28.87,Topup
T00131,U0260,2023-02-25,38.91,Topup
T00132,U0053,2023-12-08,172.05,Bills
T00133,U0046,2023-04-12,14.73,Bills
T00134,U0214,2023-07-11,97.76,Bills
T00135,U0176,2023-11-06,39.53,Transport
T00136,U0008,2023-07-19,42.14,Shopping
T00137,U0098,2023-08-21,21.02,Food
T00138,U0019,2023-08-15,41.23,Bills
T00139,U0377,2023-05-19,3.8,Bills
T00140,U0240,2023-12-10,72.33,Bills
T00141,U0060,2023-11-01,16.75,Topup
T00142,U0378,2023-05-29,109.29,Bills
T00143,U0489,2023-04-25,22.93,Food
T00144,U0418,2023-03-04,7.71,Bills
T00145,U0177,2023-04-14,59.52,Food
T00146,U0337,2023-12-05,8.99,Transport
T00147,U0061,2023-12-25,70.06,Shopping
T00148,U0144,2023-06-05,172.28,Topup
T00149,U0215,2023-09-30,75.6,Food
T00150,U0002,2023-01-06,1.14,Transport
T00151,U0159,2023-05-27,45.8,Shopping
T00152,U0226,2023-07-03,59.44,Shopping
T00153,U0485,2023-01-28,87.28,Shopping
T00154,U0268,2023-02-07,2.88,Food
T00155,U0119,2023-04-29,32.71,Transport
T00156,U0380,2023-10-20,38.33,Bills
T00157,U0494,2023-09-01,9.26,Transport
T00158,U0088,2023-03-09,19.46,Transport
T00159,U0328,2023-08-02,29.01,Transport
T00160,U0067,2023-08-06,89.55,Food
T00161,U0397,2023-06-26,132.54,Food
T00162,U0356,2023-10-26,49.5,Food
T00163,U0097,2023-06-13,25.12,Transport
T00164,U0266,2023-02-27,14.65,Food
T00165,U0104,2023-09-26,201.25,Shopping
T00166,U0439,2023-11-04,203.79,Food
T00167,U0322,2023-02-27,129.5,Topup
T00168,U0122,2023-10-15,77.01,Food
T00169,U0475,2023-04-15,19.71,Food
T00170,U0028,2023-08-16,84.91,Food
T00171,U0136,2023-09-04,26.28,Food
T00172,U0194,2023-07-07,19.78,Topup
T00173,U0408,2023-03-24,68.3,Bills
T00174,U0225,2023-07-05,4.15,Food
T00175,U0331,2023-09-09,2.49,Shopping
T00176,U0169,2023-12-21,29.71,Topup
T00177,U0008,2023-08-26,29.5,Bills
T00178,U0462,2023-12-26,113.0,Food
T00179,U0039,2023-07-03,6.74,Bills
T00180,U0024,2023-10-11,6.58,Shopping
T00181,U0260,2023-07-29,7.98,Topup
T00182,U0394,2023-10-31,1.51,Topup
T00183,U0442,2023-10-23,3.72,Bills
T00184,U0225,2023-04-07,53.92,Food
T00185,U0471,2023-07-27,28.25,Transport
T00186,U0123,2023-05-17,72.11,Topup
T00187,U0462,2023-07-03,245.3,Transport
T00188,U0037,2023-03-17,53.8,Topup
T00189,U0327,2023-10-14,2.59,Food
T00190,U0250,2023-05-22,5.52,Food
T00191,U0388,2023-08-25,106.43,Topup
T00192,U0175,2023-01-25,37.49,Bills
T00193,U0089,2023-10-17,87.1,Food
T00194,U0401,2023-03-08,97.11,Food
T00195,U0453,2023-09-07,131.33,Shopping
T00196,U0036,2023-04-28,149.62,Food
T00197,U0315,2023-03-14,40.46,Shopping
T00198,U0175,2023-10-09,20.85,Food
T00199,U0460,2023-12-26,163.33,Food
T00200,U0283,2023-01-10,39.64,Bills
T00201,U0452,2023-07-30,3.32,Bills
T00202,U0460,2023-11-19,51.47,Food
T00203,U0080,2023-06-01,44.3,Topup
T00204,U0113,2023-01-05,113.07,Topup
T00205,U0039,2023-07-14,52.95,Food
T00206,U0300,2023-10-10,21.47,Topup
T00207,U0223,2023-04-23,169.4,Food
T00208,U0317,2023-09-28,80.88,Bills
T00209,U0348,2023-06-12,49.77,Transport
T00210,U0114,2023-04-15,17.33,Shopping
T00211,U0185,2023-06-30,23.38,Topup
T00212,U0322,2023-02-13,55.43,Topup
T00213,U0055,2023-10-09,3.74,Bills
T00214,U0039,2023-06-24,14.83,Topup
T00215,U0353,2023-06-11,62.57,Food
T00216,U0039,2023-12-17,32.7,Food
T00217,U0346,2023-12-06,25.74,Transport
T00218,U0460,2023-05-20,8.21,Transport
T00219,U0236,2023-05-12,29.16,Transport
T00220,U0288,2023-03-28,73.63,Food
T00221,U0261,2023-06-25,15.33,Transport
T00222,U0215,2023-07-02,0.27,Transport
T00223,U0146,2023-05-09,55.21,Food
T00224,U0335,2023-09-03,179.91,Bills
T00225,U0167,2023-03-30,46.68,Topup
T00226,U0091,2023-03-07,6.39,Shopping
T00227,U0352,2023-06-07,19.34,Food
T00228,U0058,2023-05-29,101.11,Food
T00229,U0058,2023-12-06,13.24,Shopping
T00230,U0303,2023-04-26,46.79,Shopping
T00231,U0168,2023-08-02,25.76,Transport
T00232,U0268,2023-10-21,11.65,Shopping
T00233,U0362,2023-09-10,83.94,Topup
T00234,U0044,2023-05-23,67.9,Topup
T00235,U0344,2023-09-07,54.18,Topup
T00236,U0180,2023-10-29,13.48,Topup
T00237,U0169,2023-01-25,5.15,Topup
T00238,U0355,2023-10-04,42.92,Transport
T00239,U0190,2023-03-11,40.34,Food
T00240,U0154,2023-04-23,10.44,Shopping
T00241,U0421,2023-12-29,2.89,Food
T00242,U0187,2023-04-22,4.21,Shopping
T00243,U0006,2023-12-30,246.48,Transport
T00244,U0132,2023-10-30,76.53,Transport
T00245,U0234,2023-04-01,127.54,Bills
T00246,U0044,2023-01-18,10.85,Bills
