user_id,gender,age,join_date
U0000,Male,38,2022-07-22
U0001,Female,49,2022-01-26
U0002,Male,40,2022-06-22
U0003,Male,50,2022-10-27
U0004,Male,20,2022-05-13
U0005,Female,35,2022-11-22
U0006,Male,42,2022-04-28
U0007,Male,48,2022-11-20
U0008,Male,20,2022-10-02
U0009,Female,41,2022-07-31
U0010,Male,49,2022-08-13
U0011,Male,39,2022-01-20
U0012,Male,40,2022-04-23
U0013,Male,19,2022-05-20
U0014,Female,44,2022-02-16
U0015,Male,19,2022-01-01
U0016,Female,43,2022-03-31
U0017,Female,34,2022-05-22
U0018,Female,50,2022-11-16
U0019,Male,26,2022-02-07
U0020,Female,46,2022-10-20
U0021,Male,43,2022-05-19
U0022,Female,52,2022-12-22
U0023,Female,42,2022-11-29
U0024,Female,41,2022-09-16
U0025,Female,30,2022-06-10
U0026,Female,24,2022-06-27
U0027,Female,53,2022-01-10
U0028,Female,37,2022-09-18
U0029,Female,18,2022-05-18
U0030,Male,25,2022-06-21
U0031,Male,33,2022-01-13
U0032,Female,31,2022-06-17
U0033,Female,29,2022-05-10
U0034,Female,40,2022-03-25
U0035,Male,32,2022-11-17
U0036,Female,45,2022-11-15
U0037,Male,51,2022-04-11
U0038,Male,19,2022-11-25
U0039,Male,49,2022-09-30
U0040,Male,40,2022-09-22
U0041,Male,39,2022-02-07
U0042,Female,42,2022-04-04
U0043,Female,39,2022-04-05
U0044,Female,39,2022-11-01
U0045,Female,23,2022-03-10
U0046,Female,32,2022-11-14
U0047,Male,54,2022-08-24
U0048,Female,50,2022-11-30
U0049,Female,25,2022-05-17
U0050,Male,22,2022-03-17
U0051,Female,21,2022-02-04
U0052,Male,23,2022-01-01
U0053,Female,49,2022-10-23
U0054,Male,47,2022-11-16
U0055,Female,52,2022-03-01
U0056,Female,33,2022-11-16
U0057,Male,30,2022-12-15
U0058,Male,47,2022-11-24
U0059,Male,36,2022-09-24
U0060,Male,34,2022-12-27
U0061,Male,36,2022-08-17
U0062,Male,45,2022-09-27
U0063,Male,43,2022-11-12
U0064,Male,54,2022-10-13
U0065,Female,43,2022-10-18
U0066,Female,40,2022-08-01
U0067,Male,26,2022-06-14
U0068,Female,29,2022-01-05
U0069,Female,18,2022-12-05
U0070,Female,18,2022-03-19
U0071,Female,51,2022-03-03
U0072,Male,49,2022-05-12
U0073,Female,42,2022-03-30
U0074,Male,18,2022-08-25
U0075,Female,33,2022-02-11
U0076,Female,22,2022-03-30
U0077,Female,39,2022-10-23
U0078,Male,46,2022-11-24
U0079,Female,20,2022-10-22
